iter	MAE
0	10202.68453
1	9925.082853
2	9664.614963
3	9428.629322
4	9201.668993
5	8970.659304
6	8751.431765
7	8528.562529
8	8307.990484
9	8110.994116
10	7913.561786
11	7710.163146
12	7523.101836
13	7325.149323
14	7140.301349
15	6958.44795
16	6795.739193
17	6646.830613
18	6494.597826
19	6337.64815
20	6193.45807
21	6064.778254
22	5952.729297
23	5845.468452
24	5731.919874
25	5602.831221
26	5487.10442
27	5367.329099
28	5256.548136
29	5135.294114
30	5033.727442
31	4935.645708
32	4822.487131
33	4730.996923
34	4631.495365
35	4552.840779
36	4452.591763
37	4353.226097
38	4275.326855
39	4202.362317
40	4117.579952
41	4041.604554
42	3976.797364
43	3898.467737
44	3817.044445
45	3765.815063
46	3700.115163
47	3638.652585
48	3569.274704
49	3499.278758
50	3436.193359
51	3389.49279
52	3334.58294
53	3280.067798
54	3226.457395
55	3169.326594
56	3115.757453
57	3064.059614
58	3018.1443
59	2973.399379
60	2949.314281
61	2915.912123
62	2876.984227
63	2831.082449
64	2795.481082
65	2766.182045
66	2733.3977
67	2696.832402
68	2665.932131
69	2629.784873
70	2596.279102
71	2564.438544
72	2538.830652
73	2505.502669
74	2477.926807
75	2458.205146
76	2434.137087
77	2406.562289
78	2384.77019
79	2359.8294
80	2335.383771
81	2316.796426
82	2293.07128
83	2273.271338
84	2256.17161
85	2235.867848
86	2215.889205
87	2198.714546
88	2176.856999
89	2162.82966
90	2143.603145
91	2124.62351
92	2110.62151
93	2095.871919
94	2083.593089
95	2068.769282
96	2056.73012
97	2039.251257
98	2026.804025
99	2015.705017
100	2001.113013
101	1986.4414
102	1975.005834
103	1963.070455
104	1951.800103
105	1943.913127
106	1933.242468
107	1924.698327
108	1916.786195
109	1910.436539
110	1900.690906
111	1893.458993
112	1888.428158
113	1876.006006
114	1866.729981
115	1857.710223
116	1848.644359
117	1840.306227
118	1828.699709
119	1820.970177
120	1812.923033
121	1805.126095
122	1795.984417
123	1787.874236
124	1782.600238
125	1773.276078
126	1766.970846
127	1756.208015
128	1748.399973
129	1743.083033
130	1736.9355
131	1732.173837
132	1723.620075
133	1715.947383
134	1712.45474
135	1705.38975
136	1697.638554
137	1691.35251
138	1686.938638
139	1680.893777
140	1676.827108
141	1670.539784
142	1664.994014
143	1660.239561
144	1655.51275
145	1651.08781
146	1646.757034
147	1641.328969
148	1638.149949
149	1631.969395
150	1627.244676
151	1622.196633
152	1619.31042
153	1615.910631
154	1610.688123
155	1607.946172
156	1604.95082
157	1600.210523
158	1594.151332
159	1590.40024
160	1586.227655
161	1583.015977
162	1578.699902
163	1575.804506
164	1572.118945
165	1568.325395
166	1563.935303
167	1560.01602
168	1557.35382
169	1553.872302
170	1550.709445
171	1545.991623
172	1542.490835
173	1539.85908
174	1535.390494
175	1532.4967
176	1529.573669
177	1527.01064
178	1522.909006
179	1520.99419
180	1518.605278
181	1516.221676
182	1511.78837
183	1508.74111
184	1504.6007
185	1501.754728
186	1499.032204
187	1496.591707
188	1492.873053
189	1490.78853
190	1487.636366
191	1483.912752
192	1481.996946
193	1479.408988
194	1475.848645
195	1471.960306
196	1469.651185
197	1467.200109
198	1464.637378
199	1461.806389
200	1456.452093
201	1453.901398
202	1450.625154
203	1448.220056
204	1446.918616
205	1444.474686
206	1441.103306
207	1438.908687
208	1437.207192
209	1434.757103
210	1432.463952
211	1428.800466
212	1426.039178
213	1423.527483
214	1421.39517
215	1419.320985
216	1417.47163
217	1415.988089
218	1414.412225
219	1411.948347
220	1410.977761
221	1409.190356
222	1407.297312
223	1404.498601
224	1401.599195
225	1398.215469
226	1394.776049
227	1392.313092
228	1389.291556
229	1387.275367
230	1385.047691
231	1383.534651
232	1379.797104
233	1377.200203
234	1373.745755
235	1370.429148
236	1366.63069
237	1362.543825
238	1361.292467
239	1359.203801
240	1357.779028
241	1356.150244
242	1354.886784
243	1353.344703
244	1351.594764
245	1347.715453
246	1344.668416
247	1341.759912
248	1338.990235
249	1336.763409
250	1334.190959
251	1331.461654
252	1327.527287
253	1326.366444
254	1324.81451
255	1324.400943
256	1323.513186
257	1320.892292
258	1319.047216
259	1315.056946
260	1313.059001
261	1309.238635
262	1305.827588
263	1302.931111
264	1301.9202
265	1300.04516
266	1298.070706
267	1297.356035
268	1295.555161
269	1294.323693
270	1291.765555
271	1289.429854
272	1287.8505
273	1284.251373
274	1283.451895
275	1282.273469
276	1281.353245
277	1278.908076
278	1276.268475
279	1274.071291
280	1271.684946
281	1269.218549
282	1266.403206
283	1264.213602
284	1262.070169
285	1259.808403
286	1257.717985
287	1256.672806
288	1254.804138
289	1252.42462
290	1249.777525
291	1248.426254
292	1246.43175
293	1243.041732
294	1240.76608
295	1239.244364
296	1238.521157
297	1236.932234
298	1234.751177
299	1233.027408
300	1231.618946
301	1229.167541
302	1228.545847
303	1226.836706
304	1224.238419
305	1223.388224
306	1220.903831
307	1217.930159
308	1215.355041
309	1214.059374
310	1212.406258
311	1211.954439
312	1210.58866
313	1206.675972
314	1204.676038
315	1200.672692
316	1197.439802
317	1195.3518
318	1191.71434
319	1190.146053
320	1188.048346
321	1185.05655
