iter	RMSE
0	64.89217102
1	63.76927112
2	62.66457922
3	61.55761963
4	60.49352787
5	59.4366446
6	58.36201739
7	57.34529548
8	56.37238201
9	55.42749578
10	54.46930445
11	53.52289692
12	52.5721858
13	51.7077053
14	50.83615561
15	49.94214004
16	49.10764016
17	48.27207072
18	47.43647751
19	46.60605127
20	45.8188396
21	45.00946913
22	44.25515813
23	43.52648485
24	42.80352234
25	42.08801041
26	41.35357977
27	40.65391136
28	39.95511492
29	39.28747469
30	38.63528338
31	37.98511228
32	37.34755254
33	36.70994606
34	36.11318766
35	35.48604231
36	34.89149072
37	34.31422913
38	33.72839346
39	33.14405328
40	32.59811214
41	32.06001003
42	31.52051119
43	30.990287
44	30.47698695
45	29.99243857
46	29.50524759
47	29.00560129
48	28.54949664
49	28.10205798
50	27.66810799
51	27.21980023
52	26.794966
53	26.38438004
54	25.97324154
55	25.54196894
56	25.12986333
57	24.74446383
58	24.34313228
59	23.98926999
60	23.59530443
61	23.23143308
62	22.87319749
63	22.54051528
64	22.18240383
65	21.82455585
66	21.47632971
67	21.16037821
68	20.8210087
69	20.50905357
70	20.19337058
71	19.88975506
72	19.60039605
73	19.29766191
74	19.00913239
75	18.71825207
76	18.43222307
77	18.15297926
78	17.88079375
79	17.60427412
80	17.34712896
81	17.09260392
82	16.84185298
83	16.59320469
84	16.34347587
85	16.11101404
86	15.88316496
87	15.6511981
88	15.42661196
89	15.20350557
90	14.97300259
91	14.77247412
92	14.56517357
93	14.35835447
94	14.1574086
95	13.95691086
96	13.75987089
97	13.56259926
98	13.37242846
99	13.18710775
100	12.99683869
101	12.81393137
102	12.63900022
103	12.47740434
104	12.30953801
105	12.1438324
106	11.98038533
107	11.82151832
108	11.6658413
109	11.51555354
110	11.36617736
111	11.20841258
112	11.06207652
113	10.91676417
114	10.77345855
115	10.63403918
116	10.49546681
117	10.36976398
118	10.23847047
119	10.10308919
120	9.987951437
121	9.863590493
122	9.737604783
123	9.614904596
124	9.49624318
125	9.37664787
126	9.263911374
127	9.157715722
128	9.048927739
129	8.936090042
130	8.834470553
131	8.727743466
132	8.625212237
133	8.532943887
134	8.429353222
135	8.33011305
136	8.230347888
137	8.140663571
138	8.044793622
139	7.950357365
140	7.864752037
141	7.771926401
142	7.694042777
143	7.616618167
144	7.53084745
145	7.449300346
146	7.374773635
147	7.293314099
148	7.216399302
149	7.14383352
150	7.071286518
151	6.99327032
152	6.922510035
153	6.849540329
154	6.781079268
155	6.707980525
156	6.640236196
157	6.582953861
158	6.520048433
159	6.460907218
160	6.400276753
161	6.338508961
162	6.274393798
163	6.215332647
164	6.15590708
165	6.096892509
166	6.038948932
167	5.990365723
168	5.932823175
169	5.879456748
170	5.827714891
171	5.779749067
172	5.730063648
173	5.680433626
174	5.631169238
175	5.585561559
176	5.538920219
177	5.494863249
178	5.452717359
179	5.41243551
180	5.372318435
181	5.332025074
182	5.28770551
183	5.245875813
184	5.20257606
185	5.164217596
186	5.128336123
187	5.088638897
188	5.050509119
189	5.010813447
190	4.974732926
191	4.939922912
192	4.903868787
193	4.868439811
194	4.833806393
195	4.795401046
196	4.761741493
197	4.726828251
198	4.694302296
199	4.665068614
200	4.634585135
201	4.60439943
202	4.576103661
203	4.544392153
204	4.510367214
205	4.484722262
206	4.454849016
207	4.427139293
208	4.396601866
209	4.369541883
210	4.345812962
211	4.322474756
212	4.298916575
213	4.276517563
214	4.249881202
215	4.227852735
216	4.203073826
217	4.180779771
218	4.156360667
219	4.1320132
220	4.107113902
221	4.084966087
222	4.060382296
223	4.038149244
224	4.018023433
225	3.998232517
226	3.975251982
227	3.955093453
228	3.933428362
229	3.911237254
230	3.892798937
231	3.872216619
232	3.852974248
233	3.831655608
234	3.81079029
235	3.792680956
236	3.774349172
237	3.753492437
238	3.736422245
239	3.720765715
240	3.69894914
241	3.681429155
