iter	RMSE
0	6885.153991
1	6440.722403
2	6008.737022
3	5668.533805
4	5234.169061
5	4842.144561
6	4518.972315
7	4288.074877
8	4021.48305
9	3778.470269
10	3515.675595
11	3319.797307
12	3151.057131
13	2997.169967
14	2839.96944
15	2714.1209
16	2591.356846
17	2451.016343
18	2354.588445
19	2270.193743
20	2189.300854
21	2101.3469
22	2030.463992
23	1955.241366
24	1878.663924
25	1834.514626
26	1793.273917
27	1752.653587
28	1708.790532
29	1657.584421
30	1616.678344
31	1588.49939
32	1546.783525
33	1497.958925
34	1463.437846
35	1440.427169
36	1403.276651
37	1378.607114
38	1355.038853
39	1334.77742
40	1310.809267
41	1295.212282
42	1283.253746
43	1268.069395
44	1254.884284
45	1233.507556
46	1213.915746
47	1208.978756
48	1199.902162
49	1183.09822
50	1177.64647
51	1161.128989
52	1153.304052
53	1140.201885
54	1125.610318
55	1114.256409
56	1102.064459
57	1087.559361
58	1070.65478
59	1061.143268
60	1057.698366
61	1053.018819
62	1038.459489
63	1029.150086
64	1016.933577
65	1009.858535
66	997.6806807
67	984.6625343
68	973.905237
69	964.8047339
70	951.48965
71	940.9056428
72	927.2405143
73	919.8414619
74	909.3743991
75	904.2172724
76	900.0231836
77	893.9315274
78	885.4717812
79	878.2518105
80	867.2030749
81	859.6269689
82	848.5327852
83	844.6102971
84	840.3726699
85	835.6798507
86	828.6127655
87	821.5830599
88	815.8241498
89	812.0094879
90	805.227688
91	800.3208263
92	795.3389722
93	790.7781725
94	788.1736969
95	780.7281459
96	779.7222728
97	774.6544825
98	769.015285
99	761.2229764
100	749.7559208
101	747.9404802
102	744.0504146
103	737.9888355
104	728.7828298
105	724.3817759
106	720.8916044
107	714.3551856
108	712.3771891
109	706.3173549
110	702.9264727
111	697.0833022
112	694.3803965
113	689.6026794
114	684.7496996
115	680.765281
116	675.4640022
117	669.5201487
118	664.2852604
119	663.1962369
120	658.180894
121	654.8875736
122	654.0850292
123	650.8802728
124	644.7150357
125	638.2527241
126	632.5920463
127	627.9667601
128	625.8125572
129	621.7241852
130	616.0708808
131	613.2429185
132	608.4662761
133	604.2344303
134	601.6315651
135	600.0005757
136	598.0087281
137	592.9789179
138	591.7066891
139	589.8068739
140	584.543683
141	582.8151367
142	581.8600689
143	580.3713874
144	579.395135
145	577.0910217
146	573.4422416
147	571.5429795
148	569.6802312
149	568.5841831
150	565.4911481
151	564.3474779
152	561.1412952
153	560.2237281
154	559.3997732
155	554.443945
156	550.9568387
157	550.2244228
158	547.644778
159	546.6169854
160	543.9849255
161	541.9181089
162	541.5734215
163	539.2047547
164	537.7625704
165	534.2922927
166	530.0855505
167	529.4543007
168	528.7052649
169	524.8428435
170	524.1905205
171	523.6155333
172	522.8993736
173	518.6559071
174	517.8844061
175	516.3028367
176	512.1009718
177	509.6826774
178	508.7798023
179	506.4651501
180	505.3519006
181	504.1447786
182	501.5917913
183	500.4370514
184	497.8387918
185	496.1740582
186	495.8436147
187	492.7222453
188	490.9933989
189	490.5732092
190	488.1589266
191	487.026517
192	483.234088
193	481.9031234
194	481.0061007
195	479.4672553
196	478.9816166
197	478.2599424
198	476.8979849
199	474.9844475
200	474.6724367
201	470.9575345
202	467.9960253
203	467.6689594
204	467.0735268
205	465.5982427
206	465.2907331
207	462.4082585
208	458.4463208
209	455.7908739
210	453.0273766
211	452.6310926
212	449.379142
213	448.7126685
214	447.5039374
215	445.7421925
216	445.2791797
217	445.070452
218	443.203634
219	441.8580148
220	441.1178813
221	438.6473331
222	437.6194804
223	436.5889543
224	436.0907696
225	434.7899821
226	432.6644728
227	431.2988705
228	430.5651484
229	430.4214663
230	430.1877826
231	429.9449265
232	429.5748345
233	428.0234309
234	427.8617722
235	426.2608951
236	426.1014485
237	424.037974
238	423.0546322
239	422.8585189
240	420.3235701
241	419.5840509
242	419.3137122
243	417.7837415
244	415.4052431
245	414.9553789
246	414.4622857
247	412.7817455
248	410.8711758
249	410.5161474
250	409.7940508
251	408.4098706
252	407.2486801
253	403.7968458
254	402.6627138
255	401.8409513
256	401.251172
257	399.4288598
258	397.9616491
259	397.8068442
260	396.0790642
261	393.2137923
262	392.0918635
263	390.891079
264	390.5915615
265	390.2385756
266	389.4652875
267	388.0549478
268	386.593802
269	386.4257321
270	386.0363605
271	384.0502127
272	382.4149393
273	382.031715
274	379.8165525
275	379.2235547
276	378.0962127
277	377.8687672
278	377.4489197
279	376.4854847
280	374.862108
281	374.5828768
282	372.7999975
283	371.6134115
284	370.740836
285	370.4803905
286	369.1570103
287	368.767637
288	368.387925
289	368.185778
290	367.6700452
291	366.9423569
292	364.6435116
293	364.622876
294	364.3438689
295	362.0411892
296	361.3380429
297	360.8518119
298	359.5917998
299	357.8539012
300	357.6390338
301	355.7909566
302	355.3691992
303	354.6027034
304	353.9996943
305	352.9905163
306	352.7800123
307	352.2957747
308	351.4984529
309	350.3953377
310	350.3025052
311	349.3738589
312	348.3416862
313	347.6847974
314	347.5855352
315	345.7151929
316	344.7531555
317	343.7541794
318	342.7938666
319	342.7171983
320	341.8423123
321	340.8128011
322	338.7352629
323	337.944177
324	336.9847529
325	335.7728245
326	335.4585116
327	333.6775876
328	331.0549248
329	330.9377802
330	330.075797
331	329.3134923
332	328.4538307
333	326.9175429
334	326.7324674
335	325.45245
336	325.1744533
337	325.0224326
338	324.4190544
339	324.2346362
340	322.6790276
341	321.4350587
342	320.4295037
343	319.6123136
344	319.0475655
345	318.0912731
346	317.001379
347	316.5896765
348	316.3375422
349	315.5754549
350	314.4819293
351	313.5645897
352	313.2729991
353	311.6816499
354	311.096512
355	310.537722
356	309.2248379
357	307.9948313
358	306.9482169
359	305.0231731
360	303.9606262
361	303.2535139
362	302.8261056
363	301.7163486
364	301.3272603
365	300.6132224
366	300.4759403
367	300.0746657
368	299.4864877
369	298.793704
370	298.5478659
371	297.5536981
372	296.7645397
373	296.5229056
374	295.9659297
375	294.9503022
376	293.9627047
377	293.3880829
378	293.1498141
379	292.0374953
380	290.3493041
381	289.5121664
382	288.1585159
383	287.179259
384	286.8862717
385	286.2895015
386	286.093086
387	284.6545526
388	284.526615
389	284.0467795
390	283.4813231
391	282.5512868
392	281.6658851
393	280.638041
394	280.4724173
395	279.6350989
396	279.2319939
397	278.0555638
398	276.9655989
399	276.6208431
400	276.1052489
401	274.9226029
402	274.6896161
403	273.9461433
404	272.3734215
405	271.9231286
406	271.7612924
407	270.7237554
408	270.5694276
409	269.2374283
410	268.6669628
411	267.7843389
412	267.4514497
413	267.1269799
414	265.3976903
415	264.9475648
416	264.4312489
417	264.2825134
418	264.1642971
419	263.2845233
420	262.1197098
421	261.4769745
422	260.213776
423	259.5103975
424	258.9507607
425	258.5289704
426	258.3867905
427	258.2136385
428	258.0478461
429	257.7949989
430	257.6553596
431	257.5319252
432	257.4475207
433	256.835887
434	256.7571457
435	256.5010111
436	255.745636
437	255.3886198
438	254.7188489
439	253.8266647
440	253.404164
441	252.3755594
442	251.9979828
443	251.6193362
444	251.3281421
445	250.8597903
446	250.1540423
447	250.005138
448	249.7989082
449	249.0926398
450	248.7212604
451	248.0282172
452	247.2585448
453	246.7869823
454	246.3384646
455	245.5443682
456	245.4394057
457	245.1041066
458	244.1154854
459	243.1306514
460	242.1922698
461	241.6612353
462	240.8040697
463	240.1339398
464	239.6870287
465	239.3899575
466	239.1721924
467	238.7564197
468	238.3858846
469	237.2834732
470	236.6744876
471	236.4789867
472	235.9440476
473	235.1971852
474	234.4733141
475	234.3146324
476	234.2141682
477	234.0105459
478	233.565555
479	232.5235313
480	232.0410559
481	231.6338816
482	231.1756249
483	230.8363459
484	230.1394257
485	229.024189
486	228.9570111
487	228.3446094
488	228.1344944
489	228.0059176
490	227.5481146
491	227.5009014
492	227.4545425
493	226.9151737
494	226.451091
495	226.3483991
496	226.0618899
497	225.5823936
498	225.2824282
499	225.111182
500	224.8379385
501	224.7939097
502	224.5223569
503	223.9201369
504	223.4253695
