iter	Accuracy	MultiClass
81	0.8926530612	0.2821939867
82	0.8926530612	0.2806135919
83	0.8930612245	0.2791169365
84	0.8934693878	0.2781698971
85	0.8934693878	0.2770095616
86	0.8930612245	0.2754322926
87	0.8942857143	0.2739798304
88	0.8955102041	0.2731725873
89	0.8951020408	0.2716008803
90	0.8959183673	0.2704185395
91	0.8951020408	0.2695004398
92	0.8955102041	0.2681390951
93	0.8963265306	0.2676720849
94	0.8955102041	0.2670101233
95	0.8959183673	0.2656697897
96	0.8963265306	0.2646867946
97	0.8979591837	0.2639034882
98	0.9	0.2631032228
99	0.8995918367	0.2624219292
100	0.9008163265	0.2616839842
101	0.9016326531	0.2605759584
102	0.9028571429	0.2598121408
103	0.9020408163	0.2587734508
104	0.9020408163	0.25758612
105	0.9012244898	0.2560957984
106	0.9012244898	0.2553849458
107	0.9012244898	0.2544290282
108	0.9028571429	0.2531427438
109	0.9040816327	0.252000253
110	0.9048979592	0.251522133
111	0.9057142857	0.2511897469
112	0.9048979592	0.2501760917
113	0.906122449	0.2497325101
114	0.906122449	0.2491414088
115	0.9057142857	0.2484372618
116	0.906122449	0.2477872363
117	0.9081632653	0.2465995065
118	0.9097959184	0.2457628514
119	0.9102040816	0.2445839159
120	0.9106122449	0.2442137814
121	0.9102040816	0.2433014754
122	0.9106122449	0.2429184727
123	0.9110204082	0.2422858822
124	0.9114285714	0.2415565791
125	0.9118367347	0.2408066908
126	0.912244898	0.2399416137
127	0.912244898	0.23909936
128	0.9130612245	0.2382188119
129	0.9126530612	0.2374557577
130	0.9130612245	0.2368592301
131	0.9130612245	0.235776415
132	0.913877551	0.2350631438
133	0.913877551	0.2346746937
134	0.913877551	0.234212091
135	0.9134693878	0.2330237207
136	0.9142857143	0.2323885748
137	0.9151020408	0.2318919145
138	0.9151020408	0.2312977817
139	0.9142857143	0.2304342253
140	0.9146938776	0.2296924335
141	0.9155102041	0.2291222756
142	0.9159183673	0.228685486
143	0.9155102041	0.2278212469
144	0.9167346939	0.2273057364
145	0.9167346939	0.2268013184
146	0.9183673469	0.2257466483
147	0.9187755102	0.2252674185
148	0.9187755102	0.2245290377
149	0.9204081633	0.2236578401
150	0.9208163265	0.2234206474
151	0.9212244898	0.2226740767
152	0.9204081633	0.2224520719
153	0.9216326531	0.2217712262
154	0.9216326531	0.2211659865
155	0.9228571429	0.2204954253
156	0.9236734694	0.2202950958
157	0.9236734694	0.219919427
158	0.9248979592	0.2193704225
159	0.9244897959	0.2190370224
160	0.9236734694	0.2186904124
161	0.9248979592	0.2180320641
162	0.9244897959	0.2174631055
163	0.9253061224	0.2170510643
164	0.9248979592	0.2159835798
165	0.9257142857	0.2157558822
166	0.9257142857	0.2154412804
167	0.9253061224	0.2148862794
168	0.9253061224	0.2141176813
169	0.9253061224	0.2135840334
170	0.9248979592	0.2132805284
171	0.926122449	0.2126861307
172	0.9265306122	0.2121526477
173	0.926122449	0.2116449459
174	0.926122449	0.2111316277
175	0.9265306122	0.2107876735
176	0.9269387755	0.2106225631
177	0.926122449	0.2103133427
178	0.927755102	0.2096821766
179	0.9285714286	0.2091634205
180	0.9289795918	0.2087824164
181	0.9302040816	0.208545766
182	0.9318367347	0.2081182124
183	0.9318367347	0.2073753356
184	0.9326530612	0.2066178502
185	0.9330612245	0.2063733701
186	0.932244898	0.2061390697
187	0.9318367347	0.2057973683
188	0.933877551	0.2050711146
189	0.9330612245	0.2040466727
190	0.9326530612	0.2036984468
191	0.9330612245	0.2030184057
192	0.9326530612	0.2026959123
193	0.933877551	0.2020747628
194	0.9330612245	0.2017060389
195	0.9334693878	0.2007428193
196	0.9326530612	0.200266992
197	0.9346938776	0.1996400626
198	0.9342857143	0.1989806736
199	0.933877551	0.1982123277
200	0.933877551	0.1975782882
201	0.9346938776	0.1972047324
202	0.9355102041	0.1967569116
203	0.9367346939	0.196121899
204	0.9367346939	0.1959399039
205	0.9363265306	0.1956505376
206	0.9363265306	0.1954075569
207	0.9371428571	0.1942953548
208	0.9371428571	0.1939154419
209	0.9363265306	0.1933783102
210	0.9363265306	0.1929984844
211	0.9367346939	0.1925060407
212	0.9367346939	0.1917965673
213	0.9375510204	0.1910420918
214	0.9379591837	0.1906747957
215	0.9383673469	0.1900828763
216	0.94	0.1894614092
217	0.94	0.1888103599
218	0.9404081633	0.1884758298
219	0.94	0.1882405415
220	0.9395918367	0.1879189117
221	0.94	0.1875408901
222	0.9408163265	0.1871257907
223	0.9412244898	0.1868976825
224	0.9420408163	0.1866829619
225	0.9412244898	0.1861091842
226	0.9412244898	0.1857993403
227	0.9416326531	0.1853392299
228	0.9424489796	0.1848754317
229	0.9428571429	0.1842322791
230	0.9428571429	0.1841070308
231	0.9432653061	0.1837483129
232	0.9436734694	0.1834034305
233	0.9440816327	0.1831565119
234	0.9444897959	0.1828674145
235	0.9448979592	0.182335196
236	0.9453061224	0.1820419751
237	0.9457142857	0.1817568183
238	0.946122449	0.1814333283
239	0.946122449	0.181248313
240	0.9457142857	0.1809541606
241	0.9457142857	0.180695544
242	0.9457142857	0.1803624906
243	0.9469387755	0.1798191699
244	0.9465306122	0.1793022688
245	0.9469387755	0.1787102588
246	0.9469387755	0.1784618976
247	0.9485714286	0.1782199456
248	0.9481632653	0.1779745661
249	0.9489795918	0.1776822685
250	0.9485714286	0.1774010537
251	0.9489795918	0.1770638664
252	0.9481632653	0.1764220463
253	0.9485714286	0.1762276083
254	0.947755102	0.1758665507
255	0.947755102	0.175358033
256	0.9485714286	0.174935164
257	0.9481632653	0.1746808928
258	0.9481632653	0.1744381342
259	0.9497959184	0.1741030896
260	0.9502040816	0.1738273875
261	0.9506122449	0.1733828547
262	0.9502040816	0.1730966894
263	0.9502040816	0.1728641378
264	0.9497959184	0.1726989588
265	0.9506122449	0.1723630392
266	0.9514285714	0.17214572
267	0.9518367347	0.1718098361
268	0.9514285714	0.1715839734
269	0.9514285714	0.1713842889
270	0.9514285714	0.1707679151
271	0.9518367347	0.1702605388
272	0.9518367347	0.1699618284
273	0.9518367347	0.1696886872
274	0.952244898	0.1694922635
275	0.9518367347	0.1694136146
276	0.952244898	0.1689618297
277	0.952244898	0.1685797044
278	0.9518367347	0.1682022491
279	0.952244898	0.1681383834
280	0.952244898	0.1676629581
281	0.9530612245	0.1674158929
282	0.952244898	0.1670721329
283	0.952244898	0.1670247169
284	0.9510204082	0.1667979224
285	0.9514285714	0.1662975261
286	0.9518367347	0.1658993514
287	0.9518367347	0.1656926498
288	0.9526530612	0.1652783441
289	0.9526530612	0.1646855267
290	0.9530612245	0.1644279185
291	0.9542857143	0.1640095227
292	0.9559183673	0.1635618317
293	0.9559183673	0.1633431488
294	0.9555102041	0.1631020085
295	0.9555102041	0.1627817167
296	0.9559183673	0.162657443
297	0.9563265306	0.1624874041
298	0.9559183673	0.1621807733
299	0.9559183673	0.1619989255
300	0.9563265306	0.1616241765
301	0.9563265306	0.1611966335
302	0.9563265306	0.1608046932
303	0.9563265306	0.1602418609
304	0.9563265306	0.1597690662
305	0.9555102041	0.1595342681
306	0.9563265306	0.1591844456
307	0.9571428571	0.1589746674
308	0.9571428571	0.1586367327
309	0.9567346939	0.1584296284
310	0.9571428571	0.1581605176
311	0.9571428571	0.1580176687
312	0.9567346939	0.1575532984
313	0.9571428571	0.1572898257
314	0.9575510204	0.1568650316
315	0.9579591837	0.1566157949
316	0.9579591837	0.1562691703
317	0.9583673469	0.155904054
318	0.9579591837	0.1556403972
319	0.9579591837	0.1552868778
320	0.9579591837	0.1549860941
321	0.9591836735	0.1546295933
322	0.9591836735	0.1543207895
323	0.9595918367	0.1540643872
324	0.96	0.1538312293
325	0.9604081633	0.1536545702
326	0.9608163265	0.1534398218
327	0.9608163265	0.1532460876
328	0.9608163265	0.1529533818
329	0.9604081633	0.1526063826
330	0.9608163265	0.1523765802
331	0.9620408163	0.1519345406
332	0.9620408163	0.1516858219
333	0.9628571429	0.1514725613
334	0.9636734694	0.1513755094
335	0.9632653061	0.1509795814
336	0.9632653061	0.150783809
337	0.9636734694	0.1506161967
338	0.9636734694	0.15032143
339	0.9636734694	0.1500207536
340	0.9636734694	0.1497600484
341	0.9636734694	0.1496402945
342	0.9640816327	0.1493974066
343	0.9644897959	0.1490268957
344	0.9640816327	0.1486099103
345	0.9640816327	0.148542648
346	0.9644897959	0.1484333522
347	0.9644897959	0.1480142987
348	0.9644897959	0.1477761047
349	0.9644897959	0.1476107735
350	0.9640816327	0.1474427755
351	0.9636734694	0.1472450915
352	0.9640816327	0.1471079599
353	0.9648979592	0.1468172621
354	0.9640816327	0.1465144021
355	0.9653061224	0.1461761525
356	0.9653061224	0.1456827667
357	0.9653061224	0.1455180779
358	0.9653061224	0.1452986282
359	0.9653061224	0.1451138616
360	0.9657142857	0.1448553482
361	0.9657142857	0.1446529127
362	0.9653061224	0.1444631148
363	0.966122449	0.1442135273
364	0.9657142857	0.143938492
365	0.966122449	0.1437092091
366	0.9657142857	0.1432072034
367	0.966122449	0.1429496
368	0.9669387755	0.1424841226
369	0.9673469388	0.1423451616
370	0.9673469388	0.1421814259
371	0.9673469388	0.1418861674
372	0.9681632653	0.1414900411
373	0.9681632653	0.1413622021
374	0.967755102	0.1410224988
375	0.9681632653	0.1408688092
376	0.967755102	0.1407781718
377	0.967755102	0.140559424
378	0.9681632653	0.1402213596
379	0.9681632653	0.1400195328
380	0.9681632653	0.1397241288
381	0.9681632653	0.1395416322
382	0.9689795918	0.1392237015
383	0.9697959184	0.1391034412
384	0.9697959184	0.1386877402
385	0.9697959184	0.1384710761
386	0.9697959184	0.1382446005
387	0.9702040816	0.1380977423
388	0.9702040816	0.1377505592
389	0.9706122449	0.1375031287
390	0.9706122449	0.1370984715
391	0.9706122449	0.1368089126
392	0.9702040816	0.1364192148
393	0.9702040816	0.1362223641
394	0.9702040816	0.1360521612
395	0.9702040816	0.1358655446
396	0.9710204082	0.1354671877
397	0.9714285714	0.1353310132
398	0.9706122449	0.1351739994
399	0.9706122449	0.134885371
400	0.9710204082	0.1346664501
401	0.9714285714	0.1343018333
402	0.9710204082	0.1342105317
403	0.9710204082	0.1340762105
404	0.9710204082	0.1339222259
405	0.9718367347	0.1334508131
406	0.9718367347	0.1333804409
407	0.9718367347	0.1330636249
408	0.9718367347	0.1329148757
409	0.9718367347	0.1325787989
410	0.9714285714	0.1323505627
411	0.9726530612	0.1321660776
412	0.9730612245	0.1319674892
413	0.9730612245	0.1318157442
414	0.9730612245	0.1316191839
415	0.9730612245	0.1314117767
416	0.9726530612	0.1310236159
417	0.973877551	0.1305712614
418	0.973877551	0.1302653658
419	0.9734693878	0.1300501512
420	0.973877551	0.1298940656
421	0.973877551	0.1297356999
422	0.9742857143	0.1295407954
423	0.9742857143	0.1293293709
424	0.9742857143	0.1292199638
425	0.9746938776	0.1290588314
426	0.9746938776	0.1288467714
427	0.9746938776	0.1286768044
428	0.9746938776	0.1286068803
429	0.9746938776	0.1283482662
430	0.9746938776	0.1282696751
431	0.9751020408	0.128033847
432	0.9755102041	0.1278814649
433	0.9755102041	0.1277338419
434	0.9755102041	0.1276457353
435	0.9755102041	0.1275482801
436	0.9755102041	0.1274048211
437	0.9755102041	0.1271816016
438	0.9759183673	0.1268172762
439	0.9751020408	0.126671339
440	0.9755102041	0.1264605317
441	0.9755102041	0.1262490259
442	0.9755102041	0.1260823236
443	0.9759183673	0.1258099231
444	0.9759183673	0.1254938925
445	0.9759183673	0.1252302814
446	0.9759183673	0.1250544691
447	0.9759183673	0.1248303699
448	0.9763265306	0.1247786223
449	0.9767346939	0.1244760576
450	0.9767346939	0.1242526388
451	0.9767346939	0.1241625842
452	0.9767346939	0.1239618643
453	0.9767346939	0.123737283
454	0.9771428571	0.1235583221
455	0.9767346939	0.1234040171
456	0.9771428571	0.1231475003
457	0.9771428571	0.1229928731
458	0.9771428571	0.1226841387
459	0.9771428571	0.1224653449
460	0.9775510204	0.1220553229
461	0.9775510204	0.1220059977
462	0.9775510204	0.121679075
463	0.9775510204	0.1214056859
464	0.9775510204	0.1211617299
465	0.9779591837	0.1209219037
466	0.9779591837	0.1207731231
467	0.9779591837	0.1206098231
468	0.9779591837	0.1204376837
469	0.9779591837	0.12027062
470	0.9779591837	0.1200855264
471	0.9779591837	0.1199700702
472	0.9779591837	0.1197651018
473	0.9779591837	0.1193197845
474	0.9775510204	0.1191147291
475	0.9783673469	0.1187465246
476	0.9783673469	0.1183975602
477	0.9779591837	0.1183370837
478	0.9783673469	0.1182274186
479	0.9783673469	0.1180183529
480	0.9779591837	0.1179088716
481	0.9783673469	0.1178048877
482	0.9783673469	0.1176406971
483	0.9783673469	0.117467312
484	0.9783673469	0.1173991993
485	0.9783673469	0.1171339095
486	0.9787755102	0.1169776091
487	0.9791836735	0.1167002284
488	0.9795918367	0.1165253822
489	0.9791836735	0.1163529226
490	0.9795918367	0.116222403
491	0.9795918367	0.1159881609
492	0.98	0.1157453894
493	0.98	0.1156009919
494	0.98	0.1153523074
495	0.9795918367	0.1151889465
496	0.9795918367	0.1149900826
497	0.98	0.1148517911
498	0.9808163265	0.1146486383
499	0.9804081633	0.1143408829
