iter	RMSE
0	163.8373961
1	160.7668143
2	157.8343822
3	155.0671669
4	152.2718667
5	149.5647032
6	146.75957
7	144.0203092
8	141.4639374
9	138.9864372
10	136.4331301
11	133.9098982
12	131.3901801
13	129.0326404
14	126.67465
15	124.4019699
16	122.1666415
17	119.9765562
18	117.8585946
19	115.7100097
20	113.618419
21	111.5934047
22	109.5924789
23	107.5419362
24	105.6322079
25	103.8263058
26	102.0431478
27	100.2506309
28	98.52787909
29	96.8761732
30	95.17105476
31	93.50439013
32	91.91557551
33	90.2919406
34	88.71065063
35	87.09353641
36	85.51243817
37	84.06194049
38	82.66159085
39	81.18335687
40	79.74456367
41	78.29563154
42	76.8809114
43	75.56502636
44	74.24153453
45	72.9052341
46	71.61595997
47	70.39886024
48	69.20634916
49	68.00043069
50	66.8122993
51	65.65717395
52	64.5247147
53	63.41659854
54	62.28822868
55	61.20704753
56	60.1235483
57	59.0759925
58	58.06967549
59	57.09592659
60	56.1540548
61	55.1891495
62	54.33266676
63	53.36580061
64	52.44343805
65	51.51696121
66	50.7272913
67	49.8466621
68	48.9858148
69	48.15632836
70	47.42239207
71	46.62465428
72	45.88591715
73	45.14179126
74	44.44322103
75	43.7505753
76	43.03181066
77	42.31633949
78	41.65633087
79	41.04078447
80	40.34544663
81	39.70541006
82	39.09938786
83	38.47568078
84	37.85599924
85	37.28834378
86	36.70975298
87	36.15564045
88	35.57590481
89	35.05287623
90	34.4987279
91	33.96028144
92	33.44247185
93	32.91928354
94	32.45899597
95	31.94997713
96	31.48926637
97	30.99533963
98	30.5278202
99	30.05722039
100	29.60838827
101	29.1400518
102	28.69075995
103	28.23793166
104	27.81841715
105	27.44248657
106	27.05125155
107	26.67325434
108	26.27163829
109	25.89764315
110	25.51204474
111	25.13440938
112	24.79323222
113	24.4294916
114	24.08673545
115	23.74029304
116	23.39656254
117	23.07063206
118	22.77267657
119	22.46619822
120	22.14941307
121	21.86477608
122	21.56117132
123	21.28690682
124	20.99669468
125	20.72088471
126	20.44750794
127	20.17138044
128	19.89691703
129	19.65473362
130	19.40898511
131	19.17107078
132	18.91425652
133	18.68754386
134	18.44132913
135	18.21081835
136	17.98861083
137	17.76356937
138	17.53877525
139	17.33462059
140	17.12191452
141	16.9128238
142	16.70755823
143	16.51357695
144	16.32133393
145	16.12865992
146	15.94817839
147	15.77371009
148	15.59583935
149	15.41727863
150	15.24439978
151	15.07807488
152	14.92075996
153	14.7557661
154	14.60834637
155	14.45198906
156	14.29537884
157	14.14284371
158	13.99529407
159	13.85857544
160	13.71354259
161	13.57131592
162	13.43901418
163	13.30703747
164	13.17975189
165	13.04804702
166	12.93113741
167	12.8091332
168	12.68673167
169	12.57370772
170	12.4582909
171	12.33899605
172	12.237787
173	12.13196287
174	12.02979547
175	11.92746169
176	11.83169518
177	11.73458015
178	11.63803966
179	11.54841666
180	11.45075058
181	11.34346799
182	11.25418265
183	11.16465577
184	11.081715
185	10.99500824
186	10.91296785
187	10.81299928
188	10.73277829
189	10.639607
190	10.57171103
191	10.50141628
192	10.42732871
193	10.35266798
194	10.27806527
195	10.2038758
196	10.12940995
197	10.06017458
