iter	MultiClass
0	1.335188444
1	1.282249794
2	1.238683132
3	1.192017564
4	1.153672763
5	1.115848621
6	1.076912
7	1.047242552
8	1.012759117
9	0.9823685662
10	0.9511608974
11	0.925002341
12	0.8991369053
13	0.8745372922
14	0.8535125738
15	0.8301225255
16	0.8087232122
17	0.7890380235
18	0.7679677193
19	0.751210475
20	0.7340589287
21	0.7177273706
22	0.7011246161
23	0.6863057044
24	0.6719314744
25	0.6580068929
26	0.6436624494
27	0.6307511529
28	0.6176519326
29	0.6060971059
30	0.5928129719
31	0.5820926451
32	0.5716972397
33	0.5625053715
34	0.5514551635
35	0.5412374329
36	0.5322334404
37	0.5231804614
38	0.5142083053
39	0.5059265023
40	0.497638803
41	0.4897144856
42	0.4820871692
43	0.4740186662
44	0.4668912808
45	0.4598318336
46	0.4530414142
47	0.4457513555
48	0.4395263363
49	0.4339569356
50	0.4279808836
51	0.4218488909
52	0.4159595099
53	0.4099355096
54	0.404283183
55	0.3988722425
56	0.3944314842
57	0.3892553521
58	0.3845353091
59	0.3798299165
60	0.3746025236
61	0.370603046
62	0.3661173466
63	0.361592748
64	0.3572721798
65	0.3532435312
66	0.3486802419
67	0.3444268075
68	0.3407557646
69	0.3373895415
70	0.3341508011
71	0.3308066542
72	0.3270723947
73	0.3231972787
74	0.3198039515
75	0.3169230766
76	0.3137698687
77	0.3110524844
78	0.3079902303
79	0.3050335997
80	0.3015708148
81	0.2987126724
82	0.2952915476
83	0.2925835552
84	0.2902083898
85	0.2876897922
86	0.284759544
87	0.2825572209
88	0.2797569223
89	0.2773148269
90	0.2752988248
91	0.2728282424
92	0.2704166598
93	0.2682552776
94	0.2658958049
95	0.2639620097
96	0.2616721023
97	0.259264434
98	0.2567610981
99	0.2544804312
100	0.2525574681
101	0.2508940153
102	0.2488853763
103	0.24676654
104	0.2447283555
105	0.2429941116
106	0.2411106564
107	0.2394485232
108	0.2374201914
109	0.2359572507
110	0.2346857813
111	0.2325501377
112	0.230809317
113	0.2293623262
114	0.2277310059
115	0.2260790347
116	0.2245004719
117	0.2225071401
118	0.220705273
119	0.2190104172
120	0.2175912566
121	0.2157790986
122	0.2142961548
123	0.2130420903
124	0.2115880519
125	0.2099510698
126	0.2086708628
127	0.2074036782
128	0.2060282747
129	0.2046408834
130	0.2033533825
131	0.2021948956
132	0.2007156209
133	0.1996766998
134	0.1982879137
135	0.1974156688
136	0.1961165416
137	0.1948918549
138	0.1937385789
139	0.1924589698
140	0.1915301558
141	0.1902838804
142	0.1891899066
143	0.1879513554
144	0.1864867162
145	0.1855131338
146	0.1845304062
147	0.183310881
148	0.1823051959
149	0.1811772824
150	0.1799910186
151	0.1788819242
152	0.177581248
153	0.1765669551
154	0.1756007199
155	0.1748665453
156	0.1736746472
157	0.1725940854
158	0.17128292
159	0.1705313604
160	0.1696221351
161	0.1689696339
162	0.1681065641
163	0.1671758768
164	0.1662096469
165	0.1652012734
166	0.1641568492
167	0.1633615644
168	0.1622654601
169	0.1616092882
170	0.1607061816
171	0.1600083347
172	0.1591306382
173	0.1582585873
174	0.1575370153
175	0.1567016427
176	0.1559572833
177	0.1550735551
178	0.1540926767
179	0.1533321982
180	0.1524915177
181	0.1518261711
182	0.1510921532
183	0.1502672702
184	0.1495779911
185	0.1487094994
186	0.1480351613
187	0.1473972241
188	0.1467953334
189	0.1463950163
190	0.1456571823
191	0.1451446995
192	0.1444977199
193	0.143658773
194	0.1428215563
195	0.1422249212
196	0.1413411031
197	0.1406570253
198	0.1399035774
199	0.1391796378
200	0.1385088361
201	0.1378556944
202	0.137212204
203	0.1365696979
204	0.1359634896
205	0.1353205789
206	0.134641479
207	0.1339790859
208	0.1333292942
209	0.1328911877
210	0.1324253334
211	0.1317074491
212	0.1310006302
213	0.1303665882
214	0.1298663233
215	0.129333735
216	0.1288613865
217	0.128360873
218	0.1278581864
219	0.1273567442
220	0.1268691467
221	0.1263774904
222	0.1258661006
223	0.1252454429
224	0.124767141
225	0.124297581
226	0.1237713799
227	0.1233273993
228	0.1227424001
229	0.1222233069
230	0.121794674
231	0.1211495789
232	0.1206231768
233	0.120252068
234	0.119652183
235	0.1191023392
236	0.1187553076
237	0.1184522315
238	0.1180528695
239	0.1178263221
240	0.1174202427
241	0.1168313897
242	0.1164683077
243	0.1161625396
244	0.1156628048
245	0.1151229329
246	0.1147495363
247	0.1142615454
248	0.1137163037
249	0.1132207077
250	0.1127908296
251	0.1123398915
252	0.1118533792
253	0.1114524452
254	0.1111220565
255	0.1107609686
256	0.1103764538
257	0.1099684543
258	0.1095974722
259	0.1092653923
260	0.1088815379
261	0.1084608692
262	0.1081158269
263	0.1077371549
264	0.1072981266
265	0.1068273946
266	0.1065113942
267	0.1060046648
268	0.1056010601
269	0.1052910971
270	0.1049700647
271	0.1046697201
272	0.1043548997
273	0.1040704363
274	0.1036453987
275	0.1032934424
276	0.1029712668
277	0.102539926
278	0.1022179176
279	0.1019373149
280	0.1016795219
281	0.1013269462
282	0.1011226236
283	0.1006339573
284	0.1003765732
285	0.09995333694
286	0.09961444827
287	0.09923320922
288	0.09889804078
289	0.09866964271
290	0.09830183449
291	0.09799783965
292	0.09772523053
293	0.09744465428
294	0.0971210268
295	0.09674717088
296	0.09639115693
297	0.09610607817
298	0.09583746553
299	0.09541179508
300	0.09503130607
301	0.09475370174
302	0.09457383328
303	0.09417504288
304	0.09381411561
305	0.09352255684
306	0.09318805401
307	0.09282685569
308	0.09244890766
309	0.09214846488
310	0.09176487956
311	0.0915388226
312	0.09115616446
313	0.09094241029
314	0.09064925458
315	0.09039478892
316	0.09008771697
317	0.08979079403
318	0.08956859203
319	0.08938803514
320	0.08912082933
321	0.08876474488
322	0.08857816982
323	0.08841209347
324	0.08809939783
325	0.08779195145
326	0.08743644076
327	0.08711316285
328	0.08680204352
329	0.08658350765
330	0.08634537614
331	0.08612341087
332	0.08583904803
333	0.08544203637
334	0.08521223166
335	0.08500031883
336	0.0848150259
337	0.08463480108
338	0.08441849161
339	0.08420289934
340	0.08387457352
341	0.08355137117
342	0.08339493586
343	0.08314563133
344	0.08291113628
345	0.08274417706
346	0.08251167182
347	0.08231459701
348	0.08189688895
349	0.08165888384
350	0.08128872951
351	0.0809957046
352	0.08087356492
353	0.08063320842
354	0.08040761835
355	0.08022209636
356	0.07998886818
357	0.07981134374
358	0.07959493348
359	0.07933628509
360	0.07901067635
361	0.07883231355
362	0.0787160093
363	0.07838092331
364	0.07818472307
365	0.07783844513
366	0.07767003673
367	0.07745647054
368	0.0771167293
369	0.07689143507
370	0.07660759116
371	0.07642308963
372	0.07615690203
373	0.07600019017
374	0.07575096577
375	0.07563665824
376	0.07544607187
377	0.0752270629
378	0.07501022632
379	0.07479001948
380	0.07451037531
381	0.07434219083
382	0.074155699
383	0.07392211227
384	0.07371508807
385	0.0735873114
386	0.07335049225
387	0.07316819718
388	0.07296627898
389	0.07278928009
390	0.07254109771
391	0.07239507081
392	0.07218497782
393	0.07190493312
394	0.07178955439
395	0.07163769668
396	0.07144709137
397	0.07123238817
398	0.07102217711
399	0.07085577914
400	0.0707329226
401	0.07058261728
402	0.07044253271
403	0.07027200442
404	0.07000622087
405	0.06979190424
406	0.06962565414
407	0.06940236892
408	0.06920520781
409	0.06902500039
410	0.06885105059
411	0.06870485212
412	0.0685189488
413	0.06841566008
414	0.06811708878
415	0.06791380786
416	0.06775290607
417	0.0676035454
418	0.06744661894
419	0.0672472901
420	0.06706296842
421	0.06693263835
422	0.06671896501
423	0.06652817267
424	0.06636652124
425	0.06618152431
426	0.06601784069
427	0.06579692349
428	0.06560916593
429	0.06543551031
430	0.06528003703
431	0.06513447598
432	0.06494194634
433	0.06476850474
434	0.06455357389
435	0.06440738485
436	0.06433278769
437	0.0641635501
438	0.0640302057
439	0.06387541747
440	0.06372942161
441	0.06360823301
442	0.06338884273
443	0.06324416861
444	0.06315964525
445	0.06297955143
446	0.06287008999
447	0.06271141657
448	0.06251771543
449	0.06244776862
450	0.06226369905
451	0.06206735684
452	0.06191755994
453	0.06169786992
454	0.06151790579
455	0.06135834792
456	0.06122026385
457	0.06110091376
458	0.06094985509
459	0.06078771274
460	0.06059027379
461	0.06039106989
462	0.06026285808
463	0.06007243635
464	0.05995387355
465	0.0597408798
466	0.05960577357
467	0.05950670143
468	0.05936496143
469	0.05926910598
470	0.05908592038
471	0.05894494704
472	0.05875346362
473	0.05863655847
474	0.05850041064
475	0.05829686894
476	0.05816531303
477	0.05803155333
478	0.05788389653
479	0.05780406239
480	0.05767219015
481	0.05752906854
482	0.05739397799
483	0.05723313438
484	0.05715107032
485	0.0570031866
486	0.05691237539
487	0.05673770149
488	0.05658261229
489	0.0563942435
490	0.05623616582
491	0.05610833912
492	0.05600556503
493	0.05592148099
494	0.05576508757
495	0.05567461175
496	0.05558636322
497	0.05546661504
498	0.05533943204
499	0.05519116434
500	0.05498728412
501	0.05485784014
502	0.05476133842
503	0.05468069869
504	0.054554427
505	0.05442748256
506	0.05429815528
507	0.0541875732
508	0.05405377887
509	0.05390405674
510	0.05378253434
511	0.05364119471
512	0.05350088335
513	0.05339839649
514	0.0532239105
515	0.05309165135
516	0.05302539819
517	0.0529538541
518	0.052826813
519	0.05265838295
520	0.05254625891
521	0.05243769588
522	0.05232394325
523	0.05223467571
524	0.05215972992
525	0.05199729102
526	0.05182351965
527	0.05165224265
528	0.05151405137
529	0.05141206002
530	0.0513305561
531	0.05117999139
532	0.05107113369
533	0.05099872801
534	0.05089410472
535	0.05080538173
536	0.05067789374
537	0.0505194865
538	0.05039649602
539	0.0503404426
540	0.05025500926
541	0.0501893168
542	0.05011432618
543	0.05001440812
544	0.04995040306
545	0.04982024737
546	0.04976719386
547	0.04966523285
548	0.04958485134
549	0.04949003645
550	0.04940291605
551	0.04929905991
552	0.04923638334
553	0.04914421752
554	0.04908329391
555	0.04901208024
556	0.0488995161
557	0.04879289959
558	0.04867698008
559	0.04860735107
560	0.04853408287
561	0.04842830331
562	0.04836535689
563	0.04826321362
564	0.04816080507
565	0.0480625657
566	0.04793012902
567	0.04780242191
568	0.04773541573
569	0.04756557901
570	0.04746826637
571	0.04737518937
572	0.04720613488
573	0.04706797746
574	0.0469004107
575	0.04678152265
576	0.04667360579
577	0.04656406084
578	0.04645980716
579	0.04640203719
580	0.04628718289
581	0.04616341301
582	0.04605538783
583	0.04597599259
584	0.04589212285
585	0.04579388034
586	0.0457133035
587	0.04562002621
588	0.04555276404
589	0.04542552695
590	0.04535091854
591	0.04527530942
592	0.04519623693
593	0.04508304622
594	0.04499380112
595	0.04486659611
596	0.04476642557
597	0.0446588754
598	0.04456813535
599	0.04449960931
600	0.04438405021
601	0.0442756637
602	0.04418731031
603	0.04410890587
604	0.04402715624
605	0.04390587286
606	0.04381945605
607	0.04372886471
608	0.04362195001
609	0.04354332878
610	0.04343909397
611	0.04335933376
612	0.04324690576
613	0.0431594446
614	0.04307319601
615	0.04298786722
616	0.04288703436
617	0.0428005839
618	0.04269347928
619	0.04262992733
620	0.04255419387
621	0.0425134008
622	0.04243388305
623	0.04237766776
624	0.04228896141
625	0.04219893025
626	0.04211274755
627	0.04199575101
628	0.04191210159
629	0.04181935906
630	0.04175303933
631	0.0416647954
632	0.04156530188
633	0.04145926964
634	0.04135597025
635	0.04126479757
636	0.04122232663
637	0.04114650831
638	0.04105862413
639	0.04097981439
640	0.04090377218
641	0.04080772779
642	0.04071608278
643	0.04064713021
644	0.04054969982
645	0.04049125601
646	0.04044868148
647	0.04030879794
648	0.04018962456
649	0.04012190191
650	0.04001404807
651	0.03993651392
652	0.03986277939
653	0.03975593753
654	0.03967627095
655	0.03960375331
656	0.03954438664
657	0.03950335719
658	0.0394092039
659	0.03936185707
660	0.03929208562
661	0.03922615961
662	0.03915351839
663	0.03910294567
664	0.03901498818
665	0.03892766729
666	0.03889268158
667	0.03882301914
668	0.0387725584
669	0.03870460893
670	0.03863286615
671	0.03856152185
672	0.03844705479
673	0.03835111921
674	0.03827709663
675	0.03821655427
676	0.03812066692
677	0.03803827333
678	0.03798488604
679	0.03790854836
680	0.03785930499
681	0.0377803412
682	0.0377071083
683	0.03764469125
684	0.03758723499
685	0.03752777992
686	0.03746392844
687	0.03740487449
688	0.03733163706
689	0.0372642744
690	0.03719074258
691	0.03710799682
692	0.03703104263
693	0.03699446162
694	0.03693526326
695	0.03689648681
696	0.03684565205
697	0.03679576294
698	0.03671830075
699	0.03661426095
700	0.03655838266
701	0.03651303242
702	0.03644481383
703	0.03640821966
704	0.03635134494
705	0.03624472681
706	0.03617287954
707	0.03614221123
708	0.03608974135
709	0.03600764312
710	0.03594839526
711	0.0358997547
712	0.03584748298
713	0.03578029
714	0.03572437681
715	0.0356575791
716	0.03558230783
717	0.03549066745
718	0.0354366087
719	0.03537224368
720	0.03530101932
721	0.03522630596
722	0.0351706848
723	0.03508380774
724	0.03501833103
725	0.03498781483
726	0.03492768045
727	0.03487408017
728	0.03481260394
729	0.03477196591
730	0.03475183403
731	0.03468653664
732	0.03460874074
733	0.03456971396
734	0.0345184445
735	0.03445058088
736	0.03436947147
737	0.03431149018
738	0.03426467744
739	0.03419357752
740	0.03409318833
741	0.03402630222
742	0.03398159452
743	0.03392370351
744	0.0338690077
745	0.03382083952
746	0.03375593576
747	0.03372182947
748	0.03365776007
749	0.03361036049
750	0.03353512045
751	0.03350122671
752	0.0334380877
753	0.03339208683
754	0.03330918755
755	0.03323317772
756	0.03318043994
757	0.03311860239
758	0.03302047293
759	0.03297272267
760	0.03290949358
761	0.03287016759
762	0.03282057271
763	0.03274582944
764	0.03268366469
765	0.03263940479
766	0.03260728778
767	0.03253249263
768	0.03246317652
769	0.03240132083
770	0.03234185557
771	0.03228809536
772	0.03223818992
773	0.0321843513
774	0.03214082862
775	0.032077442
776	0.032040678
777	0.03198095536
778	0.03193767873
779	0.03187024849
780	0.03181185453
781	0.03177893155
782	0.03170767369
783	0.03166498315
784	0.03162456137
785	0.03158334826
786	0.03152671346
787	0.03146943494
788	0.031405008
789	0.03134338516
790	0.03128579341
791	0.03123865036
792	0.03118369605
793	0.03114766159
794	0.03110512869
795	0.03105876779
796	0.03100052127
797	0.03094563855
798	0.03089291195
799	0.03085048496
800	0.0308096709
801	0.03075039685
802	0.03070638906
803	0.03067578177
804	0.03063818029
805	0.03061122266
806	0.0305341621
807	0.03051433716
808	0.0304671263
809	0.03043014023
810	0.03038578038
811	0.03034028598
812	0.03030345227
813	0.03027793747
814	0.03019655262
815	0.03015099471
816	0.030096353
817	0.0300506704
818	0.03001383812
819	0.029986433
820	0.02995354001
821	0.02988071867
822	0.0298417004
823	0.02979248615
824	0.02974548058
825	0.0296888056
826	0.02965800558
827	0.0296193825
828	0.02956875422
829	0.02950878883
830	0.02946928066
831	0.02944875197
832	0.02940466057
833	0.02935205041
834	0.02929631867
835	0.02925229762
836	0.02921076695
837	0.02917597285
838	0.02914580314
839	0.02910421513
840	0.02906505598
841	0.02900666995
842	0.02896414347
843	0.02891006717
844	0.02883979398
845	0.02879609697
846	0.02874864399
847	0.02870268452
848	0.02866287892
849	0.02863597491
850	0.02859928112
851	0.02853088517
852	0.0284886848
853	0.02843645903
854	0.02839737079
855	0.02834663618
856	0.02829710261
857	0.02825433412
858	0.02822491676
859	0.02817617356
860	0.02814674057
861	0.02808959814
862	0.0280475371
863	0.02800350557
864	0.02795666122
865	0.0278959194
866	0.02785570422
867	0.02781100922
868	0.0277866851
869	0.02774590812
870	0.02771384718
871	0.02769355729
872	0.02766849461
873	0.02763079953
874	0.02759348553
875	0.02755603346
876	0.02748237633
877	0.02743320056
878	0.02737571038
879	0.02733887153
880	0.02730486232
881	0.02726474625
882	0.02723539199
883	0.02719881652
884	0.02715965107
885	0.02710461834
886	0.02705964473
887	0.02701618171
888	0.02698152651
889	0.0269449562
890	0.0269116573
891	0.02687719219
892	0.0268493834
893	0.02680639788
894	0.02676489554
895	0.02673603863
896	0.02670741913
897	0.02664532943
898	0.02659760344
899	0.02656159673
900	0.02651969297
901	0.02648854457
902	0.02643136594
903	0.02639164781
904	0.02635035994
905	0.02631865026
906	0.02626521986
907	0.0262125736
908	0.0261872577
909	0.02615231551
910	0.02610783773
911	0.02606682376
912	0.02603649919
913	0.0259987699
914	0.0259714201
915	0.02594630591
916	0.02592696456
917	0.02587055544
918	0.02584311455
919	0.02580801219
920	0.02576028294
921	0.02572608256
922	0.02569226312
923	0.02566277236
924	0.02562879844
925	0.02560534735
926	0.02557921743
927	0.02554187033
928	0.02551944532
929	0.0254886907
930	0.02545710014
931	0.02543482739
932	0.02539768254
933	0.02535819065
934	0.02532023068
935	0.02527782032
936	0.02524043497
937	0.02521035996
938	0.02517645547
939	0.02514588397
940	0.0251153341
941	0.02507225052
942	0.025044722
943	0.02500221102
944	0.02496814576
945	0.02493106293
946	0.02490391617
947	0.02487450455
948	0.02483659292
949	0.02480010324
950	0.02476086915
951	0.02472638981
952	0.02469465915
953	0.02465871096
954	0.02463835359
955	0.02458917279
956	0.02456423391
957	0.02453783368
958	0.0245158026
959	0.02448870705
960	0.02445584622
961	0.0244315468
962	0.02440597622
963	0.02435114415
964	0.02430774359
965	0.02426855816
966	0.02423542519
967	0.02419314074
968	0.02416928512
969	0.02413858721
970	0.02411360692
971	0.02407591372
972	0.02403471285
973	0.02399859288
974	0.02394941272
975	0.02392709571
976	0.02389590754
977	0.02385393387
978	0.02382831101
979	0.02379712302
980	0.02377246378
981	0.02373613723
982	0.02370374855
983	0.02366822688
984	0.02363725255
985	0.02359499635
986	0.02356420514
987	0.02352882764
988	0.02349130484
989	0.02345759077
990	0.02343066426
991	0.02340497463
992	0.02337801567
993	0.02334095018
994	0.02332291892
995	0.02329431382
996	0.02327408042
997	0.02323963545
998	0.02321513025
999	0.02317849525
1000	0.02314403506
1001	0.02312208162
1002	0.02309721124
1003	0.02306977439
1004	0.02303325722
1005	0.02300909275
1006	0.02297243179
1007	0.02295120181
1008	0.02291434905
1009	0.02288994013
1010	0.02286561555
1011	0.0228433594
1012	0.02281774394
1013	0.02279403362
1014	0.02276685204
1015	0.02273629762
1016	0.02271614318
1017	0.02269473347
1018	0.0226596789
1019	0.02262691743
1020	0.02260814311
1021	0.02258884372
1022	0.02253727362
1023	0.02251446109
1024	0.02249545599
1025	0.0224573258
1026	0.02241338692
1027	0.02237705018
1028	0.02235477105
1029	0.02231971132
1030	0.02229217724
1031	0.02226453935
1032	0.02224105615
1033	0.02221033853
1034	0.02218111716
1035	0.02216142155
1036	0.02212326276
1037	0.02208931852
1038	0.02205562893
1039	0.02203437815
1040	0.02200035392
1041	0.02196997519
1042	0.02193903322
1043	0.02190783888
1044	0.02189122263
1045	0.02186740194
1046	0.02184295367
1047	0.02180074058
1048	0.02177026777
1049	0.02174033589
1050	0.02171064437
1051	0.02168419178
1052	0.02166510982
1053	0.02163868973
1054	0.02161565934
1055	0.02159905434
1056	0.02155976054
1057	0.021534365
1058	0.02150021619
1059	0.02147777733
1060	0.02145073844
1061	0.02143230417
1062	0.02140562739
1063	0.0213821311
1064	0.02136780137
1065	0.0213419889
1066	0.02131365121
1067	0.02128806505
1068	0.02125674608
1069	0.02123538095
1070	0.02121522766
1071	0.02119792406
1072	0.02118541716
1073	0.02115485128
1074	0.02112762526
1075	0.02110824121
1076	0.02108507708
1077	0.02106134323
1078	0.02103657845
1079	0.02101405072
1080	0.02099820972
1081	0.0209811196
1082	0.02096085735
1083	0.02093647998
1084	0.02090347026
1085	0.02088412586
1086	0.02086710649
1087	0.02083529476
1088	0.02081497426
1089	0.020783844
1090	0.02076211084
1091	0.02073613971
1092	0.0207079544
1093	0.02069653586
1094	0.02067599638
1095	0.02065302684
1096	0.02061614915
1097	0.02059025066
1098	0.02058238845
1099	0.02055907816
1100	0.02053288127
1101	0.02050934144
1102	0.02048242243
1103	0.02045230103
1104	0.02043563534
1105	0.02040724272
1106	0.02038362075
1107	0.02036919476
1108	0.02034355344
1109	0.02032711696
1110	0.02030293011
1111	0.02027628215
1112	0.02025838094
1113	0.02023608564
1114	0.02021083822
1115	0.0201824802
1116	0.02016460723
1117	0.02013551986
1118	0.0201225704
1119	0.020098232
1120	0.02007801187
1121	0.02005912444
1122	0.0200352846
1123	0.02001932984
1124	0.02000463345
1125	0.0199952456
1126	0.01996825704
1127	0.01993959061
1128	0.01991079325
1129	0.01989194933
1130	0.01986889912
1131	0.01984028046
1132	0.01981797433
1133	0.01979316706
1134	0.01976651955
1135	0.01974099242
1136	0.01970575453
1137	0.01968206222
1138	0.01966558571
1139	0.01964287962
1140	0.01962267333
1141	0.01959130331
1142	0.01957950216
1143	0.01955854559
1144	0.01953863033
1145	0.01950039838
1146	0.01947078303
1147	0.0194480044
1148	0.01942303181
1149	0.01939211856
1150	0.01935857162
1151	0.01932856388
1152	0.01930782676
1153	0.01928262934
1154	0.0192549292
1155	0.01923726947
1156	0.01922311589
1157	0.0192096428
1158	0.01918790267
1159	0.01916974178
1160	0.01914667105
1161	0.01912634791
1162	0.01909770448
1163	0.01907437981
1164	0.01905401869
1165	0.01902787306
1166	0.0190041892
1167	0.01896855084
1168	0.01893567528
1169	0.01891679023
1170	0.01889247832
1171	0.01887358617
1172	0.01885727205
1173	0.0188381196
1174	0.01881697879
1175	0.01879344557
1176	0.01877526816
1177	0.01875493378
1178	0.01873193183
1179	0.01871011801
1180	0.01870002242
1181	0.01867688678
1182	0.01866249353
1183	0.01865006967
1184	0.01862805586
1185	0.01860477246
1186	0.01858817565
1187	0.01856549324
1188	0.01854927335
1189	0.0185341518
1190	0.01849805374
1191	0.0184818736
1192	0.0184587933
1193	0.01842022374
1194	0.01840298773
1195	0.0183836129
1196	0.01836517624
1197	0.0183501584
1198	0.01833369399
1199	0.01830577634
1200	0.01828590501
1201	0.018264807
1202	0.01824173706
1203	0.01822765927
1204	0.01820630015
1205	0.01818277739
1206	0.01815561593
1207	0.01812619643
1208	0.0181032863
1209	0.01807885816
1210	0.01805754085
1211	0.01802047295
1212	0.01800559754
1213	0.01799149386
1214	0.0179753632
1215	0.0179557672
1216	0.01792983286
1217	0.01791086134
1218	0.01790114585
1219	0.01788486837
1220	0.01785549699
1221	0.01783623687
1222	0.01780981782
1223	0.01779843192
1224	0.01778231042
1225	0.01775178562
1226	0.0177370339
1227	0.0177228469
1228	0.01769874793
1229	0.01768414088
1230	0.01765870235
1231	0.017629238
1232	0.01760550712
1233	0.01758336034
1234	0.01755971182
1235	0.01754333889
1236	0.01751679945
1237	0.01749906057
1238	0.01747864753
1239	0.01745332608
1240	0.01743386621
1241	0.0174268713
1242	0.01740679289
1243	0.01738866346
1244	0.01737730746
1245	0.01736361606
1246	0.01734619732
1247	0.01733174927
1248	0.0173146977
1249	0.01729608653
1250	0.01728028161
1251	0.01726391833
1252	0.01725115171
1253	0.01723225421
1254	0.01721610193
1255	0.01719905804
1256	0.01717872015
1257	0.01715502646
1258	0.01714350555
1259	0.01712821882
1260	0.01710937263
1261	0.01709201336
1262	0.01707455549
1263	0.01705457961
1264	0.01703288639
1265	0.01701777766
1266	0.01700313047
1267	0.01699058424
1268	0.0169693893
1269	0.01694967713
1270	0.01692879553
1271	0.01690842618
1272	0.01689045971
1273	0.01687871757
1274	0.01686429224
1275	0.0168500898
1276	0.01682681175
1277	0.01680760964
1278	0.01679472612
1279	0.01677880243
1280	0.01675477043
1281	0.01673582383
1282	0.01672067401
1283	0.01671358452
1284	0.0167024358
1285	0.01668726901
1286	0.01666979306
1287	0.01665324968
1288	0.01663335757
1289	0.0166106731
1290	0.01660117932
1291	0.01657842289
1292	0.01655153815
1293	0.01652931013
1294	0.01650725144
1295	0.01649247011
1296	0.01648266487
1297	0.01646416469
1298	0.01644388764
1299	0.01642739436
1300	0.01641030854
1301	0.01639281179
1302	0.0163831245
1303	0.01635805601
1304	0.01634269137
1305	0.01632173204
1306	0.0162957773
1307	0.01628199182
1308	0.01626732133
1309	0.01624866559
1310	0.01623525288
1311	0.01622312166
1312	0.01619300875
1313	0.01618865549
1314	0.01617830463
1315	0.01616549149
1316	0.01614746946
1317	0.01613547375
1318	0.01611904485
1319	0.01610555882
1320	0.01609178671
1321	0.01607092354
1322	0.01605370659
1323	0.01604396355
1324	0.01602848984
1325	0.01601369784
1326	0.01600255397
1327	0.01598562298
1328	0.01597529877
1329	0.01595921609
1330	0.01594296614
1331	0.0159359942
1332	0.01592528163
1333	0.01590980762
1334	0.01589638851
1335	0.01588126177
1336	0.01586352001
1337	0.01585104234
1338	0.01583544887
1339	0.01582307174
1340	0.01581016386
1341	0.01579297385
1342	0.01577131269
1343	0.01575906955
1344	0.01574544165
1345	0.01573150389
1346	0.01571461819
1347	0.01570327943
1348	0.01568616783
1349	0.01567133037
1350	0.01565453834
1351	0.01563517429
1352	0.01561945542
1353	0.01560604201
1354	0.01558963375
1355	0.01558036719
1356	0.01557645261
1357	0.01556142872
1358	0.01554120894
1359	0.01552490616
1360	0.01550460429
1361	0.01548316102
1362	0.01545059726
1363	0.01544011308
1364	0.01542706879
1365	0.01540924642
1366	0.0153988455
1367	0.01538265839
1368	0.01536719843
1369	0.01535762494
1370	0.01534219901
1371	0.01532702795
1372	0.01531234647
1373	0.01529515625
1374	0.01528022145
1375	0.01526340391
1376	0.01524585187
1377	0.01523393947
1378	0.01522153401
1379	0.01521021919
1380	0.01519315537
1381	0.01517901476
1382	0.01516698138
1383	0.01515010937
1384	0.01513513854
1385	0.01511924439
1386	0.01511298184
1387	0.01509290183
1388	0.01507844393
1389	0.01505954798
1390	0.0150433527
1391	0.0150301071
1392	0.01501684198
1393	0.01500862382
1394	0.01499418168
1395	0.01496878097
1396	0.0149526357
1397	0.01494253561
1398	0.01493382108
1399	0.0149153738
1400	0.01490807088
1401	0.01489261566
1402	0.01488411903
1403	0.01486854843
1404	0.01485782976
1405	0.014843928
1406	0.01482052738
1407	0.01480610405
1408	0.01478074775
1409	0.01476210854
1410	0.01475596723
1411	0.01474289139
1412	0.01472944121
1413	0.0147127864
1414	0.01469523171
1415	0.01467790759
1416	0.01466598041
1417	0.01465407682
1418	0.01463786912
1419	0.01463042248
1420	0.01461415931
1421	0.01459986961
1422	0.01458161073
1423	0.01456853187
1424	0.01455443998
1425	0.01454247609
1426	0.01452853794
1427	0.01451787949
1428	0.01450853934
1429	0.01449728498
