iter	Logloss
0	0.5987381417
1	0.5274581439
2	0.4779175797
3	0.4419384975
4	0.4153850013
5	0.3938998131
6	0.3802747005
7	0.3675188232
8	0.3553407822
9	0.3479279909
10	0.341559671
11	0.3363978535
12	0.3320235132
13	0.3288460615
14	0.3252890693
15	0.3220172614
16	0.3192216131
17	0.3169599857
18	0.3150602002
19	0.3132803692
20	0.3117190914
21	0.3106027338
22	0.3094926751
23	0.3086494049
24	0.3075838432
25	0.3070446666
26	0.3063172441
27	0.3041790614
28	0.303198443
29	0.3024116945
30	0.3015033823
31	0.3007260505
32	0.3001740749
33	0.2993692217
34	0.2984230366
35	0.2980650736
36	0.2974647674
37	0.2970848119
38	0.2958488602
39	0.295388813
40	0.2948610255
41	0.2944246325
42	0.293979053
43	0.2936338907
44	0.2932183307
45	0.292359026
46	0.2915772244
47	0.2910893185
48	0.2907943355
49	0.2904650068
50	0.2901579822
51	0.2898622477
52	0.2895083936
53	0.289219323
54	0.288750449
55	0.2884075977
56	0.2880719177
57	0.2878768781
58	0.2875987017
59	0.2873206995
60	0.2871498731
61	0.286871794
62	0.2865862909
63	0.286281774
64	0.2850102161
65	0.2847384538
66	0.2845922722
67	0.283954592
68	0.2837137052
69	0.2835490775
70	0.2831835088
71	0.2823764457
72	0.2820600277
73	0.2818797792
74	0.2817461004
75	0.2815634281
76	0.2813880222
77	0.2812829959
78	0.2810678562
79	0.2807604403
80	0.2805898458
81	0.2801331186
82	0.2799828221
83	0.2797341712
84	0.2795955296
85	0.2794511425
86	0.2793578768
87	0.2791443507
88	0.2788659704
89	0.2787387629
90	0.278466674
91	0.2782808025
92	0.2781192559
93	0.2779847747
94	0.2778728086
95	0.2775870704
96	0.2771886979
97	0.2770258451
98	0.2768349307
99	0.276078265
100	0.2759106602
101	0.2757474917
102	0.2755807903
103	0.2754351455
104	0.2752981678
105	0.2751094046
106	0.2749793275
107	0.2748724626
108	0.274363293
109	0.2742147143
110	0.2739420588
111	0.2738427787
112	0.2737351554
113	0.2735008514
114	0.2733109549
115	0.2731395818
116	0.2728357411
117	0.2726449369
118	0.2722553606
119	0.2720795801
120	0.2719120748
121	0.2717250965
122	0.2715360135
123	0.2714376397
124	0.2712785821
125	0.2711246288
126	0.2706836467
127	0.2704406821
128	0.2703220962
129	0.2702516883
130	0.2700885761
131	0.2698706459
132	0.2697351194
133	0.269570841
134	0.269395458
135	0.2691191532
136	0.2690120957
137	0.2688706084
138	0.2687514746
139	0.2685233663
140	0.2683879297
141	0.2682686845
142	0.2680128299
143	0.2678754911
144	0.2678200332
145	0.2673080625
146	0.2672198268
147	0.2670617417
148	0.2667823639
149	0.2665985356
150	0.2664950773
151	0.2663740777
152	0.266230621
153	0.2661083829
154	0.2659949819
155	0.265820137
156	0.2656425586
157	0.2651492937
158	0.2650488934
159	0.2648940603
160	0.2647526738
161	0.2646521094
162	0.2644540934
163	0.2643092401
164	0.2641476085
165	0.2640542696
166	0.2638432494
167	0.263710166
168	0.2635739956
169	0.263453629
170	0.2633489739
171	0.2632336821
172	0.2630427609
173	0.2629713469
174	0.262775908
175	0.2626288226
176	0.2623057594
177	0.2622382228
178	0.2621754184
179	0.2619965523
180	0.2618840818
181	0.2617712234
182	0.2616472959
183	0.2615721537
184	0.2613661913
185	0.2611754859
186	0.2611403036
187	0.2610043789
188	0.2608855261
189	0.2607180411
190	0.2605762243
191	0.2604427025
192	0.2602976073
193	0.2601555001
194	0.2600189634
195	0.2598884384
196	0.2597756767
197	0.2596561932
198	0.2595218523
199	0.2594220225
200	0.2593131499
201	0.2591635514
202	0.2590013393
203	0.2588701971
204	0.258734743
205	0.2585740158
206	0.2584717064
207	0.2583263784
208	0.258199997
209	0.2580721945
210	0.2579913965
211	0.2576638217
212	0.2576064347
213	0.2575279494
214	0.2573610865
215	0.2572554033
216	0.2571766022
217	0.2570920722
218	0.2569143659
219	0.2568498425
220	0.2567508656
221	0.256652024
222	0.2565889635
223	0.2565039541
224	0.2563752556
225	0.2562823618
226	0.256149601
227	0.2560850561
228	0.2560042977
229	0.2558889616
230	0.2557279011
231	0.2556103871
232	0.2554988893
233	0.2553922488
234	0.2552181435
235	0.2551750944
236	0.2550889692
237	0.254982759
238	0.2549092422
239	0.2548066177
240	0.2546917949
241	0.2546261264
242	0.2544588109
243	0.254349911
244	0.254206409
245	0.254086681
246	0.2539553754
247	0.2539041874
248	0.2537970707
249	0.2537540411
250	0.2535897162
251	0.2534826134
252	0.2533503517
253	0.2532772919
254	0.2532285229
255	0.2531371913
256	0.2530691145
257	0.2529922096
258	0.2528683911
259	0.2527364403
260	0.25264762
261	0.2525909976
262	0.2524581315
263	0.2523705507
264	0.2522711005
265	0.2522388887
266	0.2520859997
267	0.2520180101
268	0.2517788255
269	0.2516410793
270	0.2515516562
271	0.2514842413
272	0.2514282736
273	0.2512948994
274	0.2511884821
275	0.2510772354
276	0.2509646287
277	0.2508547607
278	0.2506620719
279	0.2505848789
280	0.250489864
281	0.2503574719
282	0.2501943805
283	0.2501067079
284	0.2500242744
285	0.2499301538
286	0.2498035071
287	0.2497251256
288	0.2496248881
289	0.2495187449
290	0.2494691093
291	0.2493929182
292	0.2493308963
293	0.2492068108
294	0.2491137785
295	0.2490541637
296	0.2489997011
297	0.2489398215
298	0.2488771633
299	0.2488200684
300	0.2487145814
301	0.2485788389
302	0.2484586218
303	0.2483944328
304	0.248374192
305	0.2482820766
306	0.2481663746
307	0.2480240366
308	0.2479195742
309	0.2478899964
310	0.247712818
311	0.24760782
312	0.2475420907
313	0.2474058516
314	0.247269334
315	0.2471531664
316	0.2470701596
317	0.2470306265
318	0.246957166
319	0.2468640237
320	0.2467383058
321	0.246594726
322	0.2465216678
323	0.2464120617
324	0.2463623107
325	0.2463034507
326	0.2462120064
327	0.2461244385
328	0.2460784178
329	0.2459937929
330	0.2458994214
331	0.245788598
332	0.2456809553
333	0.2455824435
334	0.2454654563
335	0.2453373455
336	0.2452759391
337	0.2452091876
338	0.2450893519
339	0.2450140425
340	0.2448923121
341	0.2448279821
342	0.2447606868
343	0.2446693843
344	0.2446196453
345	0.2445230716
346	0.2444747215
347	0.2444382248
348	0.2443964406
349	0.2443711491
350	0.2442617965
351	0.2442016724
352	0.2440530155
353	0.2439715119
354	0.243942348
355	0.2438684071
356	0.2437856349
357	0.243724726
358	0.2436379393
359	0.2436138578
360	0.2435624358
361	0.2435327063
362	0.2434337823
363	0.2433352123
364	0.2432646954
365	0.2431925425
366	0.2431445825
367	0.2429722504
368	0.2429145135
369	0.242897921
370	0.2427853129
371	0.2426808921
372	0.2425962553
373	0.242503099
374	0.2424528301
375	0.2423803561
376	0.2422818034
377	0.2421770198
378	0.2421042896
379	0.2420147892
380	0.2419933312
381	0.2418819294
382	0.24176967
383	0.2417393824
384	0.2416613052
385	0.2415842059
386	0.2415303449
387	0.2414096451
388	0.2413290019
389	0.241281565
390	0.2411672978
391	0.2409800466
392	0.2409108605
393	0.240820209
394	0.2407710401
395	0.2406958313
396	0.2405747309
397	0.2405108357
398	0.2404138508
399	0.2403426956
400	0.2402616459
401	0.240216011
402	0.2401540942
403	0.2401094471
404	0.2400508378
405	0.2399380543
406	0.23987175
407	0.2398436465
408	0.239814998
409	0.2397284196
410	0.2396614576
411	0.2396063808
412	0.239533644
413	0.2394452677
414	0.2393437963
415	0.2392477767
416	0.2391793937
417	0.2390857602
418	0.2390614762
419	0.2389536949
420	0.2388506819
421	0.2388205058
422	0.2387342204
423	0.2386533729
424	0.2385855631
425	0.2384997167
426	0.238400735
427	0.2382577939
428	0.2382226705
429	0.2381455412
430	0.2380713147
431	0.2379924775
432	0.2378915839
433	0.2377605197
434	0.2376656764
435	0.2375838798
436	0.2375197036
437	0.237438693
438	0.2373292506
439	0.2372274813
440	0.2371320885
441	0.2370449998
442	0.23699191
443	0.2369545878
444	0.236928176
445	0.2368836089
446	0.236788062
447	0.2367099346
448	0.2366646767
449	0.2365908034
450	0.2364810987
451	0.2363569971
452	0.2362965509
453	0.2361638752
454	0.2361364231
455	0.2360839392
456	0.236025049
457	0.2359056107
458	0.2358474582
459	0.2356920191
460	0.2355739748
461	0.2354584799
462	0.2353919724
463	0.2353172457
464	0.2352470386
465	0.2351731132
466	0.2351295471
467	0.2350987688
468	0.2350744615
469	0.2349482578
470	0.2348461313
471	0.2348266453
472	0.2346968097
473	0.2346161694
474	0.2345293594
475	0.2344053213
476	0.2343144509
477	0.2342480089
478	0.2341899224
479	0.2340646617
480	0.2339962967
481	0.2339133838
482	0.2338496338
483	0.233764435
484	0.2337059381
485	0.233646452
486	0.2336001063
487	0.2335309257
488	0.2334409441
489	0.2334030705
490	0.2333424101
491	0.2332600951
492	0.2331456796
493	0.2330399836
494	0.2329958681
495	0.2329039805
